"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MNCV0071","NORWOOD YOUNG AMERICA 5.5 NW, MN US","44.8360458","-93.9879727","302.4","2024-01-02","0.00",",,N","0.0",",,N"
"US1MNCV0071","NORWOOD YOUNG AMERICA 5.5 NW, MN US","44.8360458","-93.9879727","302.4","2024-01-03","0.00",",,N","0.0",",,N"
"US1MNCV0071","NORWOOD YOUNG AMERICA 5.5 NW, MN US","44.8360458","-93.9879727","302.4","2024-01-04","0.00",",,N","0.0",",,N"
"US1MNCV0071","NORWOOD YOUNG AMERICA 5.5 NW, MN US","44.8360458","-93.9879727","302.4","2024-01-05","0.00","T,,N",,
"US1MNCV0071","NORWOOD YOUNG AMERICA 5.5 NW, MN US","44.8360458","-93.9879727","302.4","2024-01-06","0.01",",,N",,
"US1MNCV0071","NORWOOD YOUNG AMERICA 5.5 NW, MN US","44.8360458","-93.9879727","302.4","2024-01-07","0.02",",,N",,
"US1MNCV0071","NORWOOD YOUNG AMERICA 5.5 NW, MN US","44.8360458","-93.9879727","302.4","2024-01-08","0.00",",,N","0.0",",,N"
"US1MNCV0071","NORWOOD YOUNG AMERICA 5.5 NW, MN US","44.8360458","-93.9879727","302.4","2024-01-09","0.06",",,N",,
"US1MNCV0071","NORWOOD YOUNG AMERICA 5.5 NW, MN US","44.8360458","-93.9879727","302.4","2024-01-10","0.00",",,N","0.0",",,N"
"US1MNCV0071","NORWOOD YOUNG AMERICA 5.5 NW, MN US","44.8360458","-93.9879727","302.4","2024-01-11","0.04",",,N",,
"US1MNCV0071","NORWOOD YOUNG AMERICA 5.5 NW, MN US","44.8360458","-93.9879727","302.4","2024-01-12","0.00",",,N","0.0",",,N"
"US1MNCV0071","NORWOOD YOUNG AMERICA 5.5 NW, MN US","44.8360458","-93.9879727","302.4","2024-01-13","0.03",",,N",,
"US1MNCV0071","NORWOOD YOUNG AMERICA 5.5 NW, MN US","44.8360458","-93.9879727","302.4","2024-01-14","0.04",",,N",,
"US1MNCV0071","NORWOOD YOUNG AMERICA 5.5 NW, MN US","44.8360458","-93.9879727","302.4","2024-01-15","0.00",",,N","0.0",",,N"
"US1MNCV0071","NORWOOD YOUNG AMERICA 5.5 NW, MN US","44.8360458","-93.9879727","302.4","2024-01-16","0.00",",,N","0.0",",,N"
"US1MNCV0071","NORWOOD YOUNG AMERICA 5.5 NW, MN US","44.8360458","-93.9879727","302.4","2024-01-17","0.00",",,N","0.0",",,N"
"US1MNCV0071","NORWOOD YOUNG AMERICA 5.5 NW, MN US","44.8360458","-93.9879727","302.4","2024-01-18","0.00",",,N","0.0",",,N"
"US1MNCV0071","NORWOOD YOUNG AMERICA 5.5 NW, MN US","44.8360458","-93.9879727","302.4","2024-01-19","0.01",",,N",,
"US1MNCV0071","NORWOOD YOUNG AMERICA 5.5 NW, MN US","44.8360458","-93.9879727","302.4","2024-01-20","0.00","T,,N",,
"US1MNCV0071","NORWOOD YOUNG AMERICA 5.5 NW, MN US","44.8360458","-93.9879727","302.4","2024-01-21","0.00",",,N","0.0",",,N"
